dataset = [
    {
        'question': "What is the total sales for each product?",
        'sql_query': "SELECT product, SUM(sales) AS total_sales FROM sales_table GROUP BY product;"
    },
    {
        'question': "How many orders were placed on a specific date?",
        'sql_query': "SELECT DISTINCT customer_id FROM orders_table WHERE DATE_TRUNC('month', order_date) IN (SELECT DATE_ADD(MIN(order_date), INTERVAL i MONTH) FROM numbers_table WHERE i < 12);"
    },
    {
        'question': "Retrieve the products that were last restocked after a specific date.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date > '2023-01-01' ORDER BY restock_date DESC LIMIT 10;"
    },
    {
        'question': "Find the customers who made a purchase of a specific product category.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE category = 'electronics';"
    },
    {
        'question': "List the orders that contain items with a specific attribute.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%';"
    },
    {
        'question': "Find the customers who have made purchases on the same day of the week.",
        'sql_query': "SELECT customer_id FROM sales_table GROUP BY customer_id HAVING COUNT(DISTINCT DAYOFWEEK(purchase_date)) = 1;"
    },
    {
        'question': "Retrieve the orders placed on weekends.",
        'sql_query': "SELECT * FROM orders_table WHERE DAYOFWEEK(order_date) IN (1, 7);"
    },
    {
        'question': "Find the average order value for each month in the past year.",
        'sql_query': "SELECT DATE_TRUNC('month', order_date) AS month, AVG(order_value) AS average_order_value FROM orders_table WHERE order_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) GROUP BY month;"
    },
    {
        'question': "Retrieve the products that have been restocked more than twice.",
        'sql_query': "SELECT * FROM products_table WHERE restock_count > 2;"
    },
    {
        'question': "Find the customers who have made a purchase on a specific date.",
        'sql_query': "SELECT customer_id FROM sales_table WHERE purchase_date = '2023-06-17';"
    },
    {
        'question': "List the orders that contain items with a specific color.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%color_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekdays.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (SELECT DAYOFWEEK(MIN(purchase_date)) + i FROM numbers_table WHERE i < 5);"
    },
    {
        'question': "Retrieve the orders that were placed within a specific time period of the day.",
        'sql_query': "SELECT * FROM orders_table WHERE TIME(order_date) BETWEEN '08:00:00' AND '12:00:00';"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the month.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAY(purchase_date) = 15;"
    },
    {
        'question': "List the orders that contain items with a specific size.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%size_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7;"
    },
    {
        'question': "Retrieve the products that have been discontinued.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the week.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFWEEK(purchase_date) = 3;"
    },
    {
        'question': "List the orders that contain items with a specific brand.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%brand_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023;"
    },
    {
        'question': "Retrieve the orders that were placed after a specific time of the day.",
        'sql_query': "SELECT * FROM orders_table WHERE TIME(order_date) > '14:00:00';"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180;"
    },
    {
        'question': "List the orders that contain items with a specific type.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%type_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekdays of the same month.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (SELECT DAYOFWEEK(MIN(purchase_date)) + i FROM numbers_table WHERE i < 5) AND DATE_TRUNC('month', purchase_date) = '2023-06-01';"
    },
    {
        'question': "Retrieve the products that have been restocked in the last month.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH);"
    },
    {
        'question': "Find the customers who made purchases on a specific month of the year.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01';"
    },
    {
        'question': "List the orders that contain items with a specific material.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%material_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same year.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7;"
    },
    {
        'question': "Retrieve the products that have been discontinued and are out of stock.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True AND stock_quantity = 0;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the month of a specific year.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAY(purchase_date) = 15 AND YEAR(purchase_date) = 2023;"
    },
    {
        'question': "List the orders that contain items with a specific category.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%category_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekdays of the same month and year.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (SELECT DAYOFWEEK(MIN(purchase_date)) + i FROM numbers_table WHERE i < 5) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND YEAR(purchase_date) = 2023;"
    },
    {
        'question': "Retrieve the products that have been restocked in the last week and have a price higher than a specified amount.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 WEEK) AND price > 50;"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023;"
    },
    {
        'question': "List the orders that contain items with a specific attribute and color.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same month and year.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7;"
    },
    {
        'question': "Retrieve the products that have been discontinued or are out of stock.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True OR stock_quantity = 0;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year of a specific month.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180 AND DATE_TRUNC('month', purchase_date) = '2023-06-01';"
    },
    {
        'question': "List the orders that contain items with a specific attribute and brand.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%brand_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and spent more than a specified amount.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND total_amount > 1000;"
    },
    {
        'question': "Retrieve the products that have been restocked in the last month or have a price higher than a specified amount.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH) OR price > 50;"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year and spent more than a specified amount.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND total_amount > 500;"
    },
    {
        'question': "List the orders that contain items with a specific attribute and type.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%type_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same month and year and spent more than a specified amount.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7 AND total_amount > 1000;"
    },
    {
        'question': "Retrieve the products that have been discontinued and have a price higher than a specified amount.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True AND price > 50;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year of a specific month and spent more than a specified amount.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180 AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND total_amount > 500;"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, and brand.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and belong to a specific customer segment.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium';"
    },
    {
        'question': "Retrieve the products that have been restocked in the last week or have a price higher than a specified amount and are in a specific category.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 WEEK) OR (price > 50 AND category = 'electronics');"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year and belong to a specific customer segment.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium';"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, and type.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%type_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same month and year and belong to a specific customer segment.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7 AND customer_segment = 'premium';"
    },
    {
        'question': "Retrieve the products that have been discontinued and have a price higher than a specified amount or are out of stock.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True AND price > 50 OR stock_quantity = 0;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year of a specific month and spent more than a specified amount and belong to a specific customer segment.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180 AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND total_amount > 500 AND customer_segment = 'premium';"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, and type.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and belong to a specific customer segment and spent more than a specified amount.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 1000;"
    },
    {
        'question': "Retrieve the products that have been restocked in the last month or have a price higher than a specified amount and are in a specific category or are discontinued.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH) OR (price > 50 AND (category = 'electronics' OR discontinued = True));"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year and belong to a specific customer segment and spent more than a specified amount.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 500;"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, and size.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same month and year and belong to a specific customer segment and spent more than a specified amount.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7 AND customer_segment = 'premium' AND total_amount > 1000;"
    },
    {
        'question': "Retrieve the products that have been discontinued and have a price higher than a specified amount or are out of stock and are in a specific category.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True AND price > 50 OR stock_quantity = 0 AND category = 'electronics';"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year of a specific month and spent more than a specified amount and belong to a specific customer segment and have a loyalty membership.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180 AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND total_amount > 500 AND customer_segment = 'premium' AND loyalty_membership = True;"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, size, and material.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%' AND items LIKE '%material_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 1000 AND loyalty_membership = True;"
    },
    {
        'question': "Retrieve the products that have been restocked in the last month or have a price higher than a specified amount and are in a specific category or are discontinued and have a rating above a certain threshold.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH) OR (price > 50 AND (category = 'electronics' OR discontinued = True)) AND rating > 4.5;"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership and reside in a specific city.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 500 AND loyalty_membership = True AND city = 'New York';"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, size, material, and category.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%' AND items LIKE '%material_name%' AND items LIKE '%category_name%';"
    },
    {
        'question': "Find the customers who made purchases on consecutive weekends of the same month and year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership and reside in a specific city.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DAYOFWEEK(purchase_date) IN (1, 7) AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND DATE_TRUNC('year', purchase_date) = '2023-01-01' AND DATE_DIFF(purchase_date, LAG(purchase_date, 1) OVER (PARTITION BY customer_id ORDER BY purchase_date)) = 7 AND customer_segment = 'premium' AND total_amount > 1000 AND loyalty_membership = True AND city = 'New York';"
    },
    {
        'question': "Retrieve the products that have been discontinued and have a price higher than a specified amount or are out of stock and are in a specific category and have a rating above a certain threshold.",
        'sql_query': "SELECT * FROM products_table WHERE discontinued = True AND price > 50 OR stock_quantity = 0 AND category = 'electronics' AND rating > 4.5;"
    },
    {
        'question': "Find the customers who made purchases on a specific day of the year of a specific month and spent more than a specified amount and belong to a specific customer segment and have a loyalty membership and reside in a specific city and have a preferred payment method.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DAYOFYEAR(purchase_date) = 180 AND DATE_TRUNC('month', purchase_date) = '2023-06-01' AND total_amount > 500 AND customer_segment = 'premium' AND loyalty_membership = True AND city = 'New York' AND preferred_payment_method = 'credit card';"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, size, material, category, and price range.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%' AND items LIKE '%material_name%' AND items LIKE '%category_name%' AND price BETWEEN 50 AND 100;"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership and reside in a specific city and have a preferred payment method and have made a previous purchase in the last month.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 1000 AND loyalty_membership = True AND city = 'New York' AND preferred_payment_method = 'credit card' AND EXISTS (SELECT 1 FROM sales_table WHERE DATE_TRUNC('month', purchase_date) >= DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id);"
    },
    {
        'question': "Retrieve the products that have been restocked in the last month or have a price higher than a specified amount and are in a specific category or are discontinued and have a rating above a certain threshold and are available for shipping.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH) OR (price > 50 AND (category = 'electronics' OR discontinued = True)) AND rating > 4.5 AND available_for_shipping = True;"
    },
    {
        'question': "Find the customers who made purchases on a specific month and year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership and reside in a specific city and have a preferred payment method and have made a previous purchase in the last month and have provided feedback.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 500 AND loyalty_membership = True AND city = 'New York' AND preferred_payment_method = 'credit card' AND EXISTS (SELECT 1 FROM sales_table WHERE DATE_TRUNC('month', purchase_date) >= DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id) AND feedback IS NOT NULL;"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, size, material, category, price range, and discount applied.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%' AND items LIKE '%material_name%' AND items LIKE '%category_name%' AND price BETWEEN 50 AND 100 AND discount_applied = True;"
    },
    {
